"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"220",0.21,1995,9899.0419426,10128.9163459153,9899.0419426,10128.9163459153
"221",0.22,1995,11518.278146,11827.7885416306,11518.278146,11827.7885416306
"222",0.23,1995,13020.662252,13285.8378639077,13020.662252,13285.8378639077
"223",0.24,1995,14372.807947,14665.6251866306,14372.807947,14665.6251866306
"224",0.25,1995,16693.156733,16791.4007779077,16693.156733,16791.4007779077
"225",0.26,1995,18362.472406,18506.966130723,18362.472406,18506.966130723
"226",0.27,1995,19981.708609,20130.0321239077,19981.708609,20130.0321239077
"227",0.28,1995,22652.613687,22830.493723723,22652.613687,22830.493723723
"228",0.29,1995,25089.81457,25304.9107119077,25089.81457,25304.9107119077
"229",0.3,1995,27226.538631,27475.0210869077,27226.538631,27475.0210869077
"230",0.31,1995,29880.750552,30029.0740669077,29880.750552,30029.0740669077
"231",0.32,1995,31850.543046,32032.2528749077,31850.543046,32032.2528749077
"232",0.33,1995,34738.459161,34903.4758329077,34738.459161,34903.4758329077
"233",0.34,1995,37709.84106,38089.9538738153,37709.84106,38089.9538738153
"234",0.35,1995,40230.507726,40525.239860723,40230.507726,40525.239860723
"235",0.36,1995,43285.355408,43644.9452746306,43285.355408,43644.9452746306
"236",0.37,1995,45572.317881,45837.4934929077,45572.317881,45837.4934929077
"237",0.38,1995,49244.812362,49372.612929723,49244.812362,49372.612929723
"238",0.39,1995,52516.671082,52813.3181118153,52516.671082,52813.3181118153
"239",0.4,1995,56556.415011,56821.5906229076,56556.415011,56821.5906229076
"240",0.41,1995,60896.635762,61039.2145906306,60896.635762,61039.2145906306
"241",0.42,1995,65153.390728,65385.1800269077,65153.390728,65385.1800269077
"242",0.43,1995,68775.80574,68987.072090723,68775.80574,68987.072090723
"243",0.44,1995,72481.686534,72774.5037736306,72481.686534,72774.5037736306
"244",0.45,1995,75953.863135,76185.6524339077,75953.863135,76185.6524339077
"245",0.46,1995,80527.788079,80692.8047509077,80527.788079,80692.8047509077
"246",0.47,1995,84300.441501,84693.4176806306,84300.441501,84693.4176806306
"247",0.48,1995,87639.072848,87835.5609378153,87639.072848,87835.5609378153
"248",0.49,1995,91612.04415,91841.9185538153,91612.04415,91841.9185538153
"249",0.5,1995,96486.445916,96747.791737723,96486.445916,96747.791737723
"250",0.51,1995,100643.04194,100856.223189815,100643.04194,100856.223189815
"251",0.52,1995,105901.38631,106097.874399815,105901.38631,106097.874399815
"252",0.53,1995,110375.15232,110688.492509815,110375.15232,110688.492509815
"253",0.54,1995,114164.4989,114474.009289631,114164.4989,114474.009289631
"254",0.55,1995,118354.48124,118550.969329815,118354.48124,118550.969329815
"255",0.56,1995,122861.63355,123058.121639815,122861.63355,123058.121639815
"256",0.57,1995,128537.30684,128733.794929815,128537.30684,128733.794929815
"257",0.58,1995,132877.52759,133270.503769631,132877.52759,133270.503769631
"258",0.59,1995,137601.69095,137796.264144723,137601.69095,137796.264144723
"259",0.6,1995,145364.00883,145539.973969631,145364.00883,145539.973969631
"260",0.61,1995,151039.68212,151334.414254723,151039.68212,151334.414254723
"261",0.62,1995,156665.27594,156861.764029815,156665.27594,156861.764029815
"262",0.63,1995,162259.15276,162522.659054908,162259.15276,162522.659054908
"263",0.64,1995,168600.883,168991.944284538,168600.883,168991.944284538
"264",0.65,1995,174743.96468,175042.526604908,174743.96468,175042.526604908
"265",0.66,1995,182205.80574,182304.049784908,182205.80574,182304.049784908
"266",0.67,1995,188966.53422,189064.778264908,188966.53422,189064.778264908
"267",0.68,1995,196812.31788,197038.362489631,196812.31788,197038.362489631
"268",0.69,1995,205759.84989,205956.337979815,205759.84989,205956.337979815
"269",0.7,1995,213839.33775,214134.069884723,213839.33775,214134.069884723
"270",0.71,1995,221468.11038,221783.365454908,221468.11038,221783.365454908
"271",0.72,1995,235373.50993,235668.242064723,235373.50993,235668.242064723
"272",0.73,1995,244220.883,244369.206514908,244220.883,244369.206514908
"273",0.74,1995,257909.27152,258035.157199631,257909.27152,258035.157199631
"274",0.75,1995,268743.13024,268939.618329815,268743.13024,268939.618329815
"275",0.76,1995,279027.78411,279224.272199815,279027.78411,279224.272199815
"276",0.77,1995,289492.72406,289689.212149815,289492.72406,289689.212149815
"277",0.78,1995,299976.02649,300270.758624723,299976.02649,300270.758624723
"278",0.79,1995,312829.75717,313026.245259815,312829.75717,313026.245259815
"279",0.8,1995,329189.05077,329287.294814908,329189.05077,329287.294814908
"280",0.81,1995,342627.04194,342725.285984908,342627.04194,342725.285984908
"281",0.82,1995,360906.04857,361004.292614908,360906.04857,361004.292614908
"282",0.83,1995,377148.49007,377639.710294538,377148.49007,377639.710294538
"283",0.84,1995,401971.21413,402280.724519631,401971.21413,402280.724519631
"284",0.85,1995,431017.30684,431213.794929815,431017.30684,431213.794929815
"285",0.86,1995,468443.36424,468639.852329815,468443.36424,468639.852329815
"286",0.87,1995,508156.38411,508451.116244723,508156.38411,508451.116244723
"287",0.88,1995,545382.12362,545591.475079631,545382.12362,545591.475079631
"288",0.89,1995,584761.28035,584957.768439815,584761.28035,584957.768439815
"289",0.9,1995,637161.09934,637357.587429815,637161.09934,637357.587429815
"290",0.91,1995,697940.883,698137.371089815,697940.883,698137.371089815
"291",0.92,1995,791672.95806,791869.446149815,791672.95806,791869.446149815
"292",0.93,1995,867376.42384,867671.155974723,867376.42384,867671.155974723
"293",0.94,1995,984896.24724,985190.979374723,984896.24724,985190.979374723
"294",0.95,1995,1142479.6468,1142887.40122454,1142479.6468,1142887.40122454
"295",0.96,1995,1322932.6711,1323129.15918982,1322932.6711,1323129.15918982
"296",0.97,1995,1677495.3201,1677593.56414491,1677495.3201,1677593.56414491
"297",0.98,1995,2204832.1413,2205225.11747963,2204832.1413,2205225.11747963
"298",0.99,1995,4105514.9669,4105907.94307963,4105514.9669,4105907.94307963
"299",0.01,1998,-36001.28536,-35612.572789776,-36001.28536,-35612.572789776
"300",0.02,1998,-22176.41431,-21854.3607865174,-22176.41431,-21854.3607865174
"301",0.03,1998,-13448.97296,-13203.9864065174,-13448.97296,-13203.9864065174
"302",0.04,1998,-8996.389351,-8552.99846129341,-8996.389351,-8552.99846129341
"303",0.05,1998,-4718.386023,-4431.53563225868,-4718.386023,-4431.53563225868
"304",0.06,1998,-2532.200499,-2225.87492551736,-2532.200499,-2225.87492551736
"305",0.07,1998,-943.6772047,-609.642953558682,-943.6772047,-609.642953558682
"306",0.08,1998,0,129.570856741318,0,129.570856741318
"307",0.09,1998,0,178.327512315318,0,178.327512315318
"308",0.1,1998,0,323.626322467636,0,323.626322467636
"309",0.11,1998,157.27953411,495.061014642636,157.27953411,495.061014642636
"310",0.12,1998,503.29450915,837.328760231318,503.29450915,837.328760231318
"311",0.13,1998,943.67720466,1230.52759554132,943.67720466,1230.52759554132
"312",0.14,1998,1714.3469218,2004.94454208264,1714.3469218,2004.94454208264
"313",0.15,1998,2437.8327787,2803.32293664132,2437.8327787,2803.32293664132
"314",0.16,1998,3350.0540765,3668.36037424132,3350.0540765,3668.36037424132
"315",0.17,1998,4403.8269551,4698.17180482395,4403.8269551,4698.17180482395
"316",0.18,1998,5583.4234609,5909.22421752395,5583.4234609,5909.22421752395
"317",0.19,1998,6527.1006656,6837.17346872395,6527.1006656,6837.17346872395
"318",0.2,1998,7738.1530782,8008.53648000659,7738.1530782,8008.53648000659
"319",0.21,1998,8807.6539101,9161.16334408264,8807.6539101,9161.16334408264
"320",0.22,1998,9987.250416,10399.1853985066,9987.250416,10399.1853985066
"321",0.23,1998,11795.965058,12050.6205067066,11795.965058,12050.6205067066
"322",0.24,1998,13604.6797,13930.480457224,13604.6797,13930.480457224
"323",0.25,1998,15602.129784,15978.8616299653,15602.129784,15978.8616299653
"324",0.26,1998,17458.028286,17705.189275224,17458.028286,17705.189275224
"325",0.27,1998,19927.316972,20127.294101224,19927.316972,20127.294101224
"326",0.28,1998,22412.333611,22687.2032774826,22412.333611,22687.2032774826
"327",0.29,1998,24692.886855,24975.2509809653,24692.886855,24975.2509809653
"328",0.3,1998,28184.492512,28573.205082224,28184.492512,28573.205082224
"329",0.31,1998,31251.443428,31582.5642089653,31251.443428,31582.5642089653
"330",0.32,1998,34286.938436,34479.4211067413,34286.938436,34479.4211067413
"331",0.33,1998,37747.088186,38191.2181117413,37747.088186,38191.2181117413
"332",0.34,1998,40845.495008,41096.4032269653,40845.495008,41096.4032269653
"333",0.35,1998,43094.592346,43460.0825037413,43094.592346,43460.0825037413
"334",0.36,1998,46397.462562,46621.4011397413,46397.462562,46621.4011397413
"335",0.37,1998,49810.428453,49987.1831697413,49810.428453,49987.1831697413
"336",0.38,1998,53946.8802,54391.0101247413,53946.8802,54391.0101247413
"337",0.39,1998,58602.354409,58794.8370797413,58602.354409,58794.8370797413
"338",0.4,1998,62754.53411,63170.9553574826,62754.53411,63170.9553574826
"339",0.41,1998,66875.257903,67263.970473224,66875.257903,67263.970473224
"340",0.42,1998,71562.18802,71849.0384107413,71562.18802,71849.0384107413
"341",0.43,1998,76909.69218,77168.8338934826,76909.69218,77168.8338934826
"342",0.44,1998,80841.680532,81081.3470627413,80841.680532,81081.3470627413
"343",0.45,1998,84930.948419,85241.021222224,84930.948419,85241.021222224
"344",0.46,1998,91536.688852,91869.9840677066,91536.688852,91869.9840677066
"345",0.47,1998,96601.08985,96926.1515711892,96601.08985,96926.1515711892
"346",0.48,1998,102278.88103,102550.003466741,102278.88103,102550.003466741
"347",0.49,1998,107736.48087,108093.737530224,107736.48087,108093.737530224
"348",0.5,1998,112769.42596,113114.701896965,112769.42596,113114.701896965
"349",0.51,1998,118746.04825,119032.898646741,118746.04825,119032.898646741
"350",0.52,1998,124644.03078,125028.996123483,124644.03078,125028.996123483
"351",0.53,1998,131469.96256,131744.832233483,131469.96256,131744.832233483
"352",0.54,1998,136990.47421,137410.642690224,136990.47421,137410.642690224
"353",0.55,1998,142259.3386,142585.139360224,142259.3386,142585.139360224
"354",0.56,1998,147842.76206,148203.765956965,147842.76206,148203.765956965
"355",0.57,1998,153363.27371,153618.668196741,153363.27371,153618.668196741
"356",0.58,1998,159009.60899,159347.390463483,159009.60899,159347.390463483
"357",0.59,1998,166307.37937,166660.888803483,166307.37937,166660.888803483
"358",0.6,1998,173636.60566,173895.747373483,173636.60566,173895.747373483
"359",0.61,1998,180509.7213,180765.115786741,180509.7213,180765.115786741
"360",0.62,1998,187949.04326,188140.786893707,187949.04326,188140.786893707
"361",0.63,1998,194633.42346,194983.185666741,194633.42346,194983.185666741
"362",0.64,1998,202072.74542,202316.159183483,202072.74542,202316.159183483
