"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"246952",70000,7664.2624624,0,1,"White",0
"246953",69900,7658.0682212,0,1,"White",0
"246954",70000,7655.1081686,0,1,"White",0
"246955",69900,7652.7538859,0,1,"White",0
"246956",1192400,3811.5519991,0,1,"White",0
"246957",1194500,4030.2888753,0,1,"White",0
"246958",1194100,3988.9121036,0,1,"White",0
"246959",1195500,3949.2336169,0,1,"White",0
"246960",1194000,4043.2740104,0,1,"White",0
"246961",49030,6392.8284653,0,0,"Hispanic",0
"246962",49040,6406.4681171,0,0,"Hispanic",0
"246963",49030,6395.2640309,0,0,"Hispanic",0
"246964",49030,6387.3221863,0,0,"Hispanic",0
"246965",49040,6381.5409474,0,0,"Hispanic",0
"246966",308700,10352.441838,0,1,"White",0
"246967",824400,6510.0369344,0,1,"White",0
"246968",954170,6445.9687358,0,1,"White",0
"246969",832500,6380.3912523,0,1,"White",0
"246970",428700,10458.731034,0,1,"White",0
"246971",730050,4300.413502,0,0,"Hispanic",0
"246972",843900,3022.9418002,0,0,"Hispanic",0
"246973",851100,3299.3177971,0,0,"Hispanic",0
"246974",840000,3396.5196025,0,0,"Hispanic",0
"246975",779700,4557.5558024,0,0,"Hispanic",0
"246976",7110,4544.1687398,0,0,"Other",0
"246977",7200,4498.4120699,0,0,"Other",0
"246978",6100,4575.4332336,0,0,"Other",0
"246979",6200,4575.2834356,0,0,"Other",0
"246980",6110,4517.0220509,0,0,"Other",0
"246981",1549900,1242.4966352,0,1,"White",0
"246982",1549900,1200.0659998,0,1,"White",0
"246983",1549900,1197.1344398,0,1,"White",0
"246984",1549900,1189.4910971,0,1,"White",0
"246985",1549900,1135.7553211,0,1,"White",0
"246986",453800,367.79657874,0,1,"White",0
"246987",452800,382.39863828,0,1,"White",0
"246988",453800,380.96634592,0,1,"White",0
"246989",453800,364.12867985,0,1,"White",0
"246990",453800,367.97715397,0,1,"White",0
"246991",536300,3712.9458778,0,1,"White",0
"246992",536300,3923.0680864,0,1,"White",0
