"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"293",0.95,1995,1142479.6468,1146785.34371465,1142479.6468,1146785.34371465
"294",0.96,1995,1322932.6711,1326737.57331465,1322932.6711,1326737.57331465
"295",0.97,1995,1677495.3201,1681183.37021465,1677495.3201,1681183.37021465
"296",0.98,1995,2204832.1413,2212441.94572929,2204832.1413,2212441.94572929
"297",0.99,1995,4105514.9669,4108419.00740732,4105514.9669,4108419.00740732
"298",0.01,1998,-36001.28536,-28185.4383505984,-36001.28536,-28185.4383505984
"299",0.02,1998,-22176.41431,-14173.250611496,-22176.41431,-14173.250611496
"300",0.03,1998,-13448.97296,-7266.78739029919,-13448.97296,-7266.78739029919
"301",0.04,1998,-8996.389351,-2139.94749959839,-8996.389351,-2139.94749959839
"302",0.05,1998,-4718.386023,2154.25669970081,-4718.386023,2154.25669970081
"303",0.06,1998,-2532.200499,3585.50045970081,-2532.200499,3585.50045970081
"304",0.07,1998,-943.6772047,3634.25711527481,-943.6772047,3634.25711527481
"305",0.08,1998,0,4340.44222343081,0,4340.44222343081
"306",0.09,1998,0,5440.92604440161,0,5440.92604440161
"307",0.1,1998,0,7171.00091940161,0,7171.00091940161
"308",0.11,1998,157.27953411,7485.55998762161,157.27953411,7485.55998762161
"309",0.12,1998,503.29450915,8499.54006510242,503.29450915,8499.54006510242
"310",0.13,1998,943.67720466,9640.76252290081,943.67720466,9640.76252290081
"311",0.14,1998,1714.3469218,10756.5013791024,1714.3469218,10756.5013791024
"312",0.15,1998,2437.8327787,11449.4771652008,2437.8327787,11449.4771652008
"313",0.16,1998,3350.0540765,12769.2064978032,3350.0540765,12769.2064978032
"314",0.17,1998,4403.8269551,13853.962365504,4403.8269551,13853.962365504
"315",0.18,1998,5583.4234609,14767.6024169016,5583.4234609,14767.6024169016
"316",0.19,1998,6527.1006656,15978.6548295016,6527.1006656,15978.6548295016
"317",0.2,1998,7738.1530782,17047.6827435024,7738.1530782,17047.6827435024
"318",0.21,1998,8807.6539101,18320.701133774,8807.6539101,18320.701133774
"319",0.22,1998,9987.250416,19721.4348234024,9987.250416,19721.4348234024
"320",0.23,1998,11795.965058,21452.4555347008,11795.965058,21452.4555347008
"321",0.24,1998,13604.6797,23135.3465497008,13604.6797,23135.3465497008
"322",0.25,1998,15602.129784,25098.5032179057,15602.129784,25098.5032179057
"323",0.26,1998,17458.028286,26956.2933921024,17458.028286,26956.2933921024
"324",0.27,1998,19927.316972,29000.9273361024,19927.316972,29000.9273361024
"325",0.28,1998,22412.333611,31800.9759614016,22412.333611,31800.9759614016
"326",0.29,1998,24692.886855,34505.7110301024,24692.886855,34505.7110301024
"327",0.3,1998,28184.492512,37211.3919344016,28184.492512,37211.3919344016
"328",0.31,1998,31251.443428,40167.7742581024,31251.443428,40167.7742581024
"329",0.32,1998,34286.938436,43313.3649401024,34286.938436,43313.3649401024
"330",0.33,1998,37747.088186,45893.2222174016,37747.088186,45893.2222174016
"331",0.34,1998,40845.495008,48410.1676807008,40845.495008,48410.1676807008
"332",0.35,1998,43094.592346,51209.2704704016,43094.592346,51209.2704704016
"333",0.36,1998,46397.462562,54715.185326504,46397.462562,54715.185326504
"334",0.37,1998,49810.428453,59402.5883608032,49810.428453,59402.5883608032
"335",0.38,1998,53946.8802,63744.9222567008,53946.8802,63744.9222567008
"336",0.39,1998,58602.354409,67283.7117737008,58602.354409,67283.7117737008
"337",0.4,1998,62754.53411,70901.1410587008,62754.53411,70901.1410587008
"338",0.41,1998,66875.257903,76342.0671031024,66875.257903,76342.0671031024
"339",0.42,1998,71562.18802,81185.8038358032,71562.18802,81185.8038358032
"340",0.43,1998,76909.69218,85370.8581967008,76909.69218,85370.8581967008
"341",0.44,1998,80841.680532,89018.7975521024,80841.680532,89018.7975521024
"342",0.45,1998,84930.948419,94490.7065852048,84930.948419,94490.7065852048
"343",0.46,1998,91536.688852,99573.2001267008,91536.688852,99573.2001267008
"344",0.47,1998,96601.08985,105486.437691402,96601.08985,105486.437691402
"345",0.48,1998,102278.88103,110722.427423504,102278.88103,110722.427423504
"346",0.49,1998,107736.48087,116040.367349701,107736.48087,116040.367349701
"347",0.5,1998,112769.42596,122016.989639701,112769.42596,122016.989639701
"348",0.51,1998,118746.04825,127207.214269701,118746.04825,127207.214269701
"349",0.52,1998,124644.03078,132569.500549102,124644.03078,132569.500549102
"350",0.53,1998,131469.96256,140339.582449402,131469.96256,140339.582449402
"351",0.54,1998,136990.47421,146347.660649402,136990.47421,146347.660649402
"352",0.55,1998,142259.3386,151773.331659102,142259.3386,151773.331659102
"353",0.56,1998,147842.76206,155989.369009701,147842.76206,155989.369009701
"354",0.57,1998,153363.27371,162311.533369402,153363.27371,162311.533369402
"355",0.58,1998,159009.60899,167360.206409402,159009.60899,167360.206409402
"356",0.59,1998,166307.37937,175333.805869102,166307.37937,175333.805869102
"357",0.6,1998,173636.60566,181783.212609701,173636.60566,181783.212609701
"358",0.61,1998,180509.7213,188575.323888205,180509.7213,188575.323888205
"359",0.62,1998,187949.04326,195151.500089402,187949.04326,195151.500089402
"360",0.63,1998,194633.42346,203487.788309701,194633.42346,203487.788309701
"361",0.64,1998,202072.74542,210156.440559701,202072.74542,210156.440559701
"362",0.65,1998,212170.09151,220473.977999701,212170.09151,220473.977999701
"363",0.66,1998,222865.09983,233212.674419102,222865.09983,233212.674419102
"364",0.67,1998,233465.74043,242933.022549402,233465.74043,242933.022549402
"365",0.68,1998,244538.21963,252841.633199402,244538.21963,252841.633199402
"366",0.69,1998,255107.40433,264165.759659402,255107.40433,264165.759659402
"367",0.7,1998,264968.83111,274042.914399402,264968.83111,274042.914399402
"368",0.71,1998,278070.21631,286688.661859701,278070.21631,286688.661859701
